threshold,far,frr,tar
-0.04942669,0.82637730,0.00468698,0.99531302
-0.04929858,0.82604341,0.00468698,0.99531302
-0.04929308,0.82570952,0.00468698,0.99531302
-0.04927433,0.82537563,0.00468698,0.99531302
-0.04922236,0.82504174,0.00468698,0.99531302
-0.04909749,0.82470785,0.00468698,0.99531302
-0.04908827,0.82437396,0.00468698,0.99531302
-0.04905460,0.82404007,0.00468698,0.99531302
-0.04892866,0.82370618,0.00468698,0.99531302
-0.04892451,0.82337229,0.00468698,0.99531302
-0.04862705,0.82303840,0.00468698,0.99531302
-0.04832006,0.82270451,0.00468698,0.99531302
-0.04815263,0.82237062,0.00468698,0.99531302
-0.04814711,0.82203673,0.00468698,0.99531302
-0.04796701,0.82170284,0.00468698,0.99531302
-0.04796659,0.82170284,0.00502176,0.99497824
-0.04792898,0.82136895,0.00502176,0.99497824
-0.04769719,0.82103506,0.00502176,0.99497824
-0.04760616,0.82070117,0.00502176,0.99497824
-0.04755441,0.82036728,0.00502176,0.99497824
-0.04753942,0.82003339,0.00502176,0.99497824
-0.04745886,0.81969950,0.00502176,0.99497824
-0.04745617,0.81936561,0.00502176,0.99497824
